Timestamp,x_POS,y_POS,z_POS,x_ANGLE,y_ANGLE,z_ANGLE
12.21.45.756711,-115.8945,-10.06591,166.916,0.1056248,90.00053,359.9877
12.21.45.764690,-115.8945,-10.06591,166.916,0.1056248,90.00053,359.9877
12.21.45.779650,-115.8942,-10.0666,166.9162,0.1195891,90.00007,-0.004592759
12.21.45.780647,-115.8942,-10.0666,166.9162,0.1195891,90.00007,-0.004592759
12.21.45.794610,-115.894,-10.06702,166.9163,0.1297183,89.99973,0.0008408958
12.21.45.795619,-115.894,-10.06702,166.9163,0.1297183,89.99973,0.0008408958
12.21.45.811598,-115.8938,-10.06733,166.9164,0.1388675,89.99943,0.005471571
12.21.45.826540,-115.8935,-10.06761,166.9165,0.1520659,89.99905,0.01136767
12.21.45.827522,-115.8936,-10.06752,166.9165,0.1464584,89.99922,0.008996082
12.21.45.843482,-115.8934,-10.06759,166.9166,0.1574945,89.99892,0.01297453
12.21.45.844478,-115.8935,-10.06761,166.9165,0.1526273,89.99904,0.01153385
12.21.45.860434,-115.8935,-10.06759,166.9166,0.157151,89.99892,0.01287286
12.21.45.877391,-115.8934,-10.06747,166.9166,0.1599581,89.99887,0.0131115
12.21.45.878385,-115.8934,-10.06747,166.9166,0.1599581,89.99887,0.0131115
12.21.45.894368,-115.8934,-10.06728,166.9166,0.1612869,89.99888,0.01248966
12.21.45.894368,-115.8934,-10.06728,166.9166,0.1612869,89.99888,0.01248966
12.21.45.911298,-115.8935,-10.06701,166.9166,0.1612487,89.99892,0.01114642
12.21.45.927257,-115.8936,-10.06644,166.9165,0.1581779,89.9991,0.007482341
12.21.45.929250,-115.8935,-10.06671,166.9166,0.1599403,89.99901,0.009279163
12.21.45.945208,-115.8937,-10.06601,166.9164,0.1542737,89.99928,0.004544353
12.21.45.946205,-115.8936,-10.06637,166.9165,0.1575195,89.99913,0.006986822
12.21.45.961165,-115.8938,-10.06558,166.9164,0.1493903,89.99947,0.001652251
12.21.45.963173,-115.8937,-10.06601,166.9164,0.1542642,89.99928,0.004538737
12.21.45.979127,-115.8938,-10.06564,166.9164,0.1500649,89.99944,0.002051785
12.21.45.996082,-115.8939,-10.06529,166.9163,0.1454664,89.99961,-0.0001884511
12.21.45.997079,-115.8939,-10.06529,166.9163,0.1454664,89.99961,-0.0001884511
12.21.46.013037,-115.894,-10.06495,166.9163,0.1406376,89.99974,-0.002066071
12.21.46.014085,-115.894,-10.06495,166.9163,0.1406376,89.99974,-0.002066071
12.21.46.029991,-115.8941,-10.06463,166.9163,0.1357324,89.99985,-0.003557958
12.21.46.045949,-115.8943,-10.06413,166.9162,0.1268386,89.99999,-0.005259065
12.21.46.046947,-115.8942,-10.06436,166.9162,0.1309932,89.99995,-0.004629659
12.21.46.062904,-115.8944,-10.0639,166.9162,0.1219014,90.00001,-0.005662372
12.21.46.063901,-115.8943,-10.06411,166.9162,0.1264762,89.99999,-0.005288667
12.21.46.079858,-115.8944,-10.06392,166.9162,0.1223616,90.00001,-0.005624773
12.21.46.097810,-115.8945,-10.06376,166.9162,0.1187237,90,-0.005505557
12.21.46.097810,-115.8945,-10.06376,166.9162,0.1187237,90,-0.005505557
12.21.46.113767,-115.8945,-10.06365,166.9162,0.1156595,89.99998,-0.005112807
12.21.46.114765,-115.8945,-10.06365,166.9162,0.1156595,89.99998,-0.005112807
12.21.46.129726,-115.8946,-10.06358,166.9162,0.1131643,89.99994,-0.004458921
12.21.46.145690,-115.8946,-10.06355,166.9163,0.1099948,89.99982,-0.002658715
12.21.46.147676,-115.8946,-10.06355,166.9162,0.1112545,89.99989,-0.003578055
12.21.46.162636,-115.8946,-10.06359,166.9163,0.1091731,89.99969,-0.001315614
12.21.46.163635,-115.8946,-10.06355,166.9163,0.1099237,89.99981,-0.002542409
12.21.46.179591,-115.8946,-10.06358,166.9163,0.1092389,89.99971,-0.001423126
12.21.46.196546,-115.8946,-10.06365,166.9163,0.1091408,89.99964,-0.0005039474
12.21.46.197543,-115.8946,-10.06365,166.9163,0.1091408,89.99964,-0.0005039474
12.21.46.213501,-115.8946,-10.06374,166.9163,0.1095081,89.9996,0.0002617388
12.21.46.214498,-115.8946,-10.06374,166.9163,0.1095081,89.9996,0.0002617388
12.21.46.230494,-115.8946,-10.06385,166.9163,0.110294,89.99957,0.0008832237
12.21.46.246462,-115.8945,-10.06407,166.9163,0.1126095,89.99958,0.001615873
12.21.46.248445,-115.8945,-10.06397,166.9163,0.111433,89.99957,0.001343368
12.21.46.264403,-115.8945,-10.06423,166.9163,0.1145552,89.9996,0.001751733
12.21.46.265400,-115.8945,-10.0641,166.9163,0.1128605,89.99959,0.001633402
12.21.46.281358,-115.8945,-10.06423,166.9163,0.1145081,89.9996,0.001748445
12.21.46.298312,-115.8944,-10.06435,166.9163,0.1162861,89.99961,0.001680403
12.21.46.299310,-115.8944,-10.06435,166.9163,0.1162861,89.99961,0.001680403
12.21.46.315267,-115.8944,-10.06448,166.9163,0.1180756,89.99963,0.001443274
12.21.46.315267,-115.8944,-10.06448,166.9163,0.1180756,89.99963,0.001443274
12.21.46.332222,-115.8943,-10.06459,166.9163,0.1199112,89.99967,0.001069774
12.21.46.333224,-115.8943,-10.06459,166.9163,0.1199112,89.99967,0.001069774
