Timestamp,x_POS,y_POS,z_POS,x_ANGLE,y_ANGLE,z_ANGLE
08.15.12.268059,-115.8946,-10.06582,166.916,0.1040114,90.00058,359.9868
08.15.12.273045,-115.8946,-10.06582,166.916,0.1040114,90.00058,359.9868
08.15.12.287011,-115.8943,-10.06641,166.9161,0.1155574,90.0002,359.9932
08.15.12.300971,-115.8939,-10.06721,166.9164,0.1345781,89.99956,0.003413256
08.15.12.301970,-115.8941,-10.06688,166.9162,0.1261727,89.99983,-0.001035883
08.15.12.316928,-115.8937,-10.06749,166.9165,0.1443842,89.99928,0.0081188
08.15.12.318923,-115.8939,-10.06724,166.9164,0.1358238,89.99953,0.00401104
08.15.12.334880,-115.8937,-10.06748,166.9165,0.1441628,89.99928,0.008012577
08.15.12.352833,-115.8936,-10.06759,166.9165,0.1507039,89.99909,0.01079164
08.15.12.352833,-115.8936,-10.06759,166.9165,0.1507039,89.99909,0.01079164
08.15.12.369787,-115.8935,-10.0676,166.9166,0.1557187,89.99895,0.0124489
08.15.12.369787,-115.8935,-10.0676,166.9166,0.1557187,89.99895,0.0124489
08.15.12.386742,-115.8934,-10.06751,166.9166,0.1591359,89.99889,0.01306579
08.15.12.386742,-115.8934,-10.06751,166.9166,0.1591359,89.99889,0.01306579
08.15.12.402735,-115.8934,-10.06734,166.9166,0.1610223,89.99887,0.01277041
08.15.12.418719,-115.8935,-10.06683,166.9166,0.1607618,89.99895,0.0101167
08.15.12.419716,-115.8934,-10.06711,166.9166,0.161514,89.99889,0.01170762
08.15.12.434675,-115.8936,-10.06644,166.9165,0.1581779,89.9991,0.007482341
08.15.12.436671,-115.8935,-10.06683,166.9166,0.1607155,89.99895,0.01006942
08.15.12.453655,-115.8935,-10.06647,166.9165,0.1583569,89.99909,0.007664755
08.15.12.471578,-115.8936,-10.06611,166.9165,0.1551934,89.99923,0.005236453
08.15.12.471578,-115.8936,-10.06611,166.9165,0.1551934,89.99923,0.005236453
08.15.12.488532,-115.8937,-10.06576,166.9164,0.1513554,89.9994,0.002816042
08.15.12.488532,-115.8937,-10.06576,166.9164,0.1513554,89.9994,0.002816042
08.15.12.504489,-115.8938,-10.0654,166.9164,0.1470163,89.99954,0.0005386061
08.15.12.519458,-115.8941,-10.06477,166.9163,0.1380833,89.99981,-0.002959061
08.15.12.521444,-115.894,-10.06506,166.9163,0.1423491,89.99969,-0.001467708
08.15.12.536404,-115.8942,-10.06443,166.9162,0.1323058,89.99992,-0.004430811
08.15.12.538399,-115.8941,-10.06474,166.9163,0.1374942,89.99981,-0.003109159
08.15.12.554356,-115.8942,-10.06444,166.9162,0.1325886,89.99992,-0.004358779
08.15.12.572312,-115.8943,-10.06419,166.9162,0.1279515,89.99998,-0.005090472
08.15.12.572312,-115.8943,-10.06419,166.9162,0.1279515,89.99998,-0.005090472
08.15.12.589292,-115.8944,-10.06398,166.9162,0.1236451,90,-0.005519926
08.15.12.590260,-115.8944,-10.06398,166.9162,0.1236451,90,-0.005519926
08.15.12.605234,-115.8945,-10.06381,166.9162,0.1198647,90,-0.005561867
08.15.12.621177,-115.8946,-10.0636,166.9162,0.1142251,89.99997,-0.004868637
08.15.12.622174,-115.8945,-10.06368,166.9162,0.1165822,89.99998,-0.005269862
08.15.12.638132,-115.8946,-10.06355,166.9162,0.1116714,89.99992,-0.003882303
08.15.12.639128,-115.8946,-10.0636,166.9162,0.1138506,89.99995,-0.004724005
08.15.12.656085,-115.8946,-10.06355,166.9163,0.1099948,89.99982,-0.002658715
08.15.12.657085,-115.8946,-10.06355,166.9162,0.1115736,89.99989,-0.003810979
08.15.12.673037,-115.8946,-10.06355,166.9162,0.1101763,89.99982,-0.002791178
08.15.12.690990,-115.8946,-10.06358,166.9163,0.1093909,89.99973,-0.001671635
08.15.12.690990,-115.8946,-10.06358,166.9163,0.1093909,89.99973,-0.001671635
08.15.12.707945,-115.8946,-10.06364,166.9163,0.1091481,89.99965,-0.0006866487
08.15.12.707945,-115.8946,-10.06364,166.9163,0.1091481,89.99965,-0.0006866487
08.15.12.724898,-115.8946,-10.06372,166.9163,0.1094077,89.99961,0.0001290034
08.15.12.739859,-115.8946,-10.06392,166.9163,0.1109752,89.99957,0.001237324
08.15.12.742856,-115.8946,-10.06383,166.9163,0.1101022,89.99957,0.0007834887
08.15.12.760804,-115.8945,-10.06407,166.9163,0.1126095,89.99958,0.001615873
08.15.12.761801,-115.8945,-10.06397,166.9163,0.1114709,89.99957,0.001352143
08.15.12.777759,-115.8945,-10.06423,166.9163,0.1145552,89.9996,0.001751733
08.15.12.778756,-115.8945,-10.0641,166.9163,0.1128756,89.99959,0.001634456
08.15.12.794742,-115.8945,-10.06423,166.9163,0.1144971,89.9996,0.001747678
08.15.12.811669,-115.8944,-10.06435,166.9163,0.1162719,89.99961,0.001680983
08.15.12.812665,-115.8944,-10.06435,166.9163,0.1162719,89.99961,0.001680983
08.15.12.829620,-115.8944,-10.06448,166.9163,0.1181003,89.99963,0.001439392
08.15.12.829620,-115.8944,-10.06448,166.9163,0.1181003,89.99963,0.001439392
08.15.12.846575,-115.8943,-10.06459,166.9163,0.1198977,89.99967,0.001072956
08.15.12.846575,-115.8943,-10.06459,166.9163,0.1198977,89.99967,0.001072956
08.15.12.864555,-115.8943,-10.0647,166.9163,0.1217334,89.99969,0.0006266312
08.15.12.879486,-115.8942,-10.06484,166.9163,0.1245818,89.99971,-4.585708E-05
08.15.12.881480,-115.8943,-10.06478,166.9163,0.123299,89.99971,0.0002428724
08.15.12.897014,-115.8942,-10.06491,166.9163,0.1260356,89.9997,-0.0004225789
08.15.12.898012,-115.8942,-10.06485,166.9163,0.1247111,89.9997,-7.938779E-05
08.15.12.913971,-115.8942,-10.0649,166.9163,0.1259326,89.9997,-0.0003958784
08.15.12.930927,-115.8942,-10.06494,166.9162,0.1269203,89.99969,-0.000689884
08.15.12.931921,-115.8942,-10.06494,166.9162,0.1269203,89.99969,-0.000689884
08.15.12.947879,-115.8942,-10.06496,166.9163,0.1276729,89.99968,-0.0009344509
08.15.12.948876,-115.8942,-10.06496,166.9163,0.1276729,89.99968,-0.0009344509
08.15.12.964834,-115.8942,-10.06496,166.9163,0.1281981,89.99968,-0.001082394
08.15.12.980791,-115.8942,-10.06494,166.9163,0.1286575,89.99969,-0.001242991
08.15.12.981787,-115.8942,-10.06495,166.9163,0.1285193,89.99969,-0.001168132
08.15.12.996748,-115.8942,-10.06491,166.9163,0.1285808,89.99972,-0.001247166
08.15.13.003729,-115.8942,-10.06494,166.9163,0.1286479,89.99969,-0.001243511
08.15.13.014700,-115.8942,-10.06491,166.9163,0.1285831,89.99972,-0.001247053
08.15.13.032652,-115.8942,-10.06488,166.9163,0.1283281,89.99974,-0.001173908
08.15.13.032652,-115.8942,-10.06488,166.9163,0.1283281,89.99974,-0.001173908
08.15.13.048609,-115.8942,-10.06483,166.9163,0.1279347,89.99974,-0.001050558
08.15.13.049606,-115.8942,-10.06483,166.9163,0.1279347,89.99974,-0.001050558
08.15.13.067475,-115.8942,-10.06479,166.9162,0.1273908,89.99974,-0.0008806496
08.15.13.067475,-115.8942,-10.06479,166.9162,0.1273908,89.99974,-0.0008806496
08.15.13.084430,-115.8942,-10.06474,166.9162,0.1268163,89.99974,-0.0007363949
08.15.13.099385,-115.8942,-10.06466,166.9163,0.125625,89.99974,-0.000418917
08.15.13.100383,-115.8942,-10.0647,166.9163,0.126195,89.99974,-0.0005931673
08.15.13.116341,-115.8943,-10.06461,166.9163,0.1248716,89.99973,-0.0002209144
08.15.13.118340,-115.8942,-10.06465,166.9163,0.1255513,89.99974,-0.0003995136
08.15.13.134293,-115.8943,-10.06461,166.9163,0.1249107,89.99973,-0.0002311931
08.15.13.152252,-115.8943,-10.06457,166.9162,0.1243046,89.9997,-0.0001117912
08.15.13.152252,-115.8943,-10.06457,166.9162,0.1243046,89.9997,-0.0001117912
08.15.13.170200,-115.8943,-10.06454,166.9163,0.123744,89.99969,-3.652559E-05
08.15.13.170200,-115.8943,-10.06454,166.9163,0.123744,89.99969,-3.652559E-05
08.15.13.186154,-115.8943,-10.06452,166.9163,0.1232378,89.99967,-8.20425E-07
08.15.13.201113,-115.8943,-10.06448,166.9163,0.1224784,89.99969,-1.572815E-05
08.15.13.202111,-115.8943,-10.0645,166.9162,0.1227913,89.99969,7.070329E-07
08.15.13.218069,-115.8943,-10.06447,166.9163,0.1220981,89.99969,-7.489212E-05
08.15.13.219066,-115.8943,-10.06448,166.9163,0.1224139,89.99969,-2.576668E-05
08.15.13.235024,-115.8943,-10.06447,166.9163,0.1218306,89.9997,-0.0001551604
08.15.13.237020,-115.8943,-10.06447,166.9163,0.1220879,89.99969,-7.795371E-05
08.15.13.252975,-115.8943,-10.06447,166.9163,0.1218626,89.9997,-0.0001455487
08.15.13.270927,-115.8943,-10.06447,166.9163,0.1217102,89.9997,-0.0002231155
08.15.13.270927,-115.8943,-10.06447,166.9163,0.1217102,89.9997,-0.0002231155
08.15.13.288885,-115.8943,-10.06447,166.9163,0.1216349,89.99969,-0.0003027235
08.15.13.288885,-115.8943,-10.06447,166.9163,0.1216349,89.99969,-0.0003027235
08.15.13.304836,-115.8943,-10.06448,166.9163,0.1216358,89.99969,-0.0003731599
08.15.13.320794,-115.8943,-10.0645,166.9163,0.1217968,89.99969,-0.0004799753
08.15.13.321792,-115.8943,-10.06449,166.9163,0.1217011,89.99969,-0.0004346451
08.15.13.337749,-115.8943,-10.06452,166.9163,0.1220009,89.99968,-0.0005222372
08.15.13.338747,-115.8943,-10.0645,166.9163,0.1218224,89.99969,-0.0004852647
08.15.13.354702,-115.8943,-10.06452,166.9163,0.1219941,89.99968,-0.000520843
08.15.13.372296,-115.8943,-10.06453,166.9163,0.1222043,89.99967,-0.0005439951
08.15.13.373294,-115.8943,-10.06453,166.9163,0.1222043,89.99967,-0.0005439951
08.15.13.389255,-115.8943,-10.06455,166.9163,0.1224295,89.99967,-0.0005540069
08.15.13.389255,-115.8943,-10.06455,166.9163,0.1224295,89.99967,-0.0005540069
08.15.13.406205,-115.8943,-10.06456,166.9163,0.1226714,89.99967,-0.0005515924
08.15.13.421165,-115.8943,-10.06459,166.9163,0.1230972,89.99965,-0.0005246851
08.15.13.422162,-115.8943,-10.06458,166.9163,0.122908,89.99966,-0.0005392793
08.15.13.438138,-115.8943,-10.0646,166.9163,0.1233466,89.99964,-0.0004902806
08.15.13.440117,-115.8943,-10.06459,166.9162,0.123144,89.99965,-0.0005182218
08.15.13.456071,-115.8943,-10.06461,166.9163,0.1235633,89.99963,-0.0004558695
08.15.13.457074,-115.8943,-10.0646,166.9163,0.1233542,89.99964,-0.0004890799
08.15.13.474030,-115.8943,-10.06461,166.9163,0.1235553,89.99963,-0.0004571435
08.15.13.491975,-115.8943,-10.06462,166.9163,0.123708,89.99963,-0.0004265343
08.15.13.491975,-115.8943,-10.06462,166.9163,0.123708,89.99963,-0.0004265343
08.15.13.507938,-115.8943,-10.06463,166.9163,0.123834,89.99963,-0.0003985198
08.15.13.508930,-115.8943,-10.06463,166.9163,0.123834,89.99963,-0.0003985198
08.15.13.524888,-115.8943,-10.06463,166.9163,0.1239311,89.99963,-0.0003738403
08.15.13.544835,-115.8943,-10.06463,166.9163,0.1240354,89.99961,-0.0003411967
08.15.13.545832,-115.8943,-10.06463,166.9163,0.1240092,89.99961,-0.000350128
08.15.13.545832,-115.8943,-10.06463,166.9163,0.1240092,89.99961,-0.000350128
08.15.13.562788,-115.8943,-10.06463,166.9163,0.124044,89.99961,-0.000338482
08.15.13.578754,-115.8943,-10.06463,166.9163,0.1240517,89.99961,-0.0003309448
08.15.13.580738,-115.8943,-10.06463,166.9163,0.1240569,89.99961,-0.000333286
08.15.13.595707,-115.8943,-10.06462,166.9163,0.1240227,89.99959,-0.0003357873
08.15.13.597693,-115.8943,-10.06463,166.9163,0.1240497,89.99961,-0.0003312716
08.15.13.612654,-115.8943,-10.06462,166.9163,0.1240256,89.99959,-0.0003353137
08.15.13.630605,-115.8943,-10.06462,166.9163,0.1239869,89.99959,-0.0003431444
08.15.13.631602,-115.8943,-10.06462,166.9163,0.1239869,89.99959,-0.0003431444
08.15.13.648557,-115.8943,-10.06462,166.9163,0.1239349,89.99958,-0.0003542635
08.15.13.649555,-115.8943,-10.06462,166.9163,0.1239349,89.99958,-0.0003542635

