Timestamp,x_POS,y_POS,z_POS,x_ANGLE,y_ANGLE,z_ANGLE
08.09.05.636836,-115.8948,-10.06536,166.9159,0.0956158,90.00086,359.9822
08.09.05.657782,-115.8941,-10.06676,166.9162,0.1229077,89.99995,-0.002764059
08.09.05.659779,-115.8944,-10.06617,166.9161,0.1104547,90.00037,359.9904
08.09.05.673741,-115.8942,-10.06669,166.9162,0.1215324,90,-0.003521924
08.09.05.691103,-115.8938,-10.06697,166.9163,0.1260813,89.99969,0.001732778
08.09.05.691103,-115.8938,-10.06697,166.9163,0.1260813,89.99969,0.001732778
08.09.05.708057,-115.8931,-10.06702,166.9164,0.1245403,89.99949,0.006051522
08.09.05.708057,-115.8931,-10.06702,166.9164,0.1245403,89.99949,0.006051522
08.09.05.725013,-115.892,-10.06677,166.9165,0.1134091,89.99921,0.009405091
08.09.05.740035,-115.8881,-10.0656,166.9167,0.07091546,89.99613,0.01278751
08.09.05.741966,-115.8902,-10.06622,166.9166,0.09266116,89.99818,0.01168198
08.09.05.756934,-115.8841,-10.06444,166.9167,0.03224681,89.99335,0.01282288
08.09.05.758921,-115.8877,-10.06548,166.9167,0.06699917,89.99583,0.01279101
08.09.05.774878,-115.8844,-10.06452,166.9167,0.03477252,89.99353,0.01282051
08.09.05.791833,-115.88,-10.06342,166.9169,-0.0008101386,89.98738,0.01170848
08.09.05.791833,-115.88,-10.06342,166.9169,-0.0008101386,89.98738,0.01170848
08.09.05.808793,-115.8749,-10.06229,166.9169,359.9646,89.98407,0.01016471
08.09.05.808793,-115.8749,-10.06229,166.9169,359.9646,89.98407,0.01016471
08.09.05.825756,-115.8688,-10.06114,166.9169,359.9301,89.98169,0.008171057
08.09.05.842697,-115.8551,-10.05904,166.9169,359.8689,89.98022,0.004006336
08.09.05.843725,-115.8612,-10.05991,166.9169,359.894,89.98009,0.005756871
08.09.05.858663,-115.8446,-10.05783,166.9167,359.8354,89.98779,0.001832539
08.09.05.860649,-115.8532,-10.05881,166.9169,359.8626,89.98164,0.003597272
08.09.05.876608,-115.8328,-10.05679,166.9166,359.8074,89.98677,-0.0008581807
08.09.05.877603,-115.8442,-10.05779,166.9167,359.8344,89.98775,0.001741819
08.09.05.893561,-115.8341,-10.0569,166.9166,359.8106,89.98689,-0.0005508071
08.09.05.911542,-115.823,-10.05611,166.9166,359.7891,89.98652,-0.002369931
08.09.05.911542,-115.823,-10.05611,166.9166,359.7891,89.98652,-0.002369931
08.09.05.928467,-115.8111,-10.05543,166.9166,359.7709,89.98591,-0.003716506
08.09.05.928467,-115.8111,-10.05543,166.9166,359.7709,89.98591,-0.003716506
08.09.05.945421,-115.7982,-10.05488,166.9166,359.7566,89.98446,-0.004654096
08.09.05.960391,-115.772,-10.05428,166.9167,359.7434,89.97887,-0.005526159
08.09.05.962377,-115.7844,-10.05449,166.9166,359.7472,89.98187,-0.005240006
08.09.05.977348,-115.7538,-10.05416,166.9167,359.7433,89.97909,-0.005097346
08.09.05.979332,-115.7697,-10.05426,166.9167,359.7434,89.97891,-0.005473637
08.09.05.995289,-115.7543,-10.05416,166.9167,359.7433,89.97907,-0.005109659
08.09.06.013246,-115.738,-10.0542,166.9167,359.7472,89.97931,-0.004463092
08.09.06.014237,-115.738,-10.0542,166.9167,359.7472,89.97931,-0.004463092
08.09.06.030195,-115.7208,-10.05432,166.9167,359.7527,89.97986,-0.003596981
08.09.06.030195,-115.7208,-10.05432,166.9167,359.7527,89.97986,-0.003596981
08.09.06.050143,-115.6993,-10.05455,166.9167,359.7607,89.98045,-0.002584008
08.09.06.050143,-115.6993,-10.05455,166.9167,359.7607,89.98045,-0.002584008
08.09.06.067096,-115.6806,-10.05477,166.9168,359.7677,89.98077,-0.00178244
08.09.06.067096,-115.6806,-10.05477,166.9168,359.7677,89.98077,-0.00178244
08.09.06.083054,-115.6607,-10.05503,166.9168,359.7747,89.98091,-0.001007261
08.09.06.099011,-115.6199,-10.05553,166.9168,359.7867,89.98092,0.0002897848
08.09.06.101005,-115.6401,-10.05529,166.9168,359.7812,89.98095,-0.0003112628
08.09.06.115965,-115.5933,-10.0558,166.9168,359.7915,89.98085,0.0007570355
08.09.06.116963,-115.6189,-10.05554,166.9168,359.7869,89.98091,0.0003068604
