Timestamp,x_POS,y_POS,z_POS,x_ANGLE,y_ANGLE,z_ANGLE
07.25.15.033434,-115.8947,-10.0656,166.9159,0.09991419,90.00072,359.9846
07.25.15.049392,-115.8941,-10.06676,166.9162,0.1229077,89.99995,-0.002764059
07.25.15.052384,-115.8944,-10.06625,166.9161,0.1120699,90.00031,359.9913
07.25.15.067344,-115.8939,-10.06721,166.9164,0.1345781,89.99956,0.003413256
07.25.15.068350,-115.8941,-10.06676,166.9162,0.1230247,89.99995,-0.002702133
07.25.15.083301,-115.8939,-10.06714,166.9163,0.1328104,89.99962,0.002477584
07.25.15.100261,-115.8937,-10.0674,166.9164,0.1414321,89.99936,0.006702196
07.25.15.101252,-115.8937,-10.0674,166.9164,0.1414321,89.99936,0.006702196
07.25.15.117211,-115.8936,-10.06755,166.9165,0.1484721,89.99915,0.009847743
07.25.15.117211,-115.8936,-10.06755,166.9165,0.1484721,89.99915,0.009847743
07.25.15.134163,-115.8935,-10.0676,166.9166,0.1540498,89.999,0.01195491
07.25.15.150140,-115.8934,-10.06744,166.9166,0.160664,89.99887,0.01315075
07.25.15.151119,-115.8934,-10.06755,166.9166,0.1582614,89.99891,0.01301718
07.25.15.167077,-115.8934,-10.06718,166.9166,0.1616843,89.99889,0.01206776
07.25.15.168076,-115.8934,-10.06742,166.9166,0.1607409,89.99887,0.01306912
07.25.15.184032,-115.8934,-10.0672,166.9166,0.1615919,89.99889,0.01216586
07.25.15.201984,-115.8935,-10.06692,166.9166,0.1609984,89.99893,0.01061694
07.25.15.201984,-115.8935,-10.06692,166.9166,0.1609984,89.99893,0.01061694
07.25.15.217955,-115.8935,-10.0666,166.9165,0.1592559,89.99904,0.008581425
07.25.15.218938,-115.8935,-10.0666,166.9165,0.1592559,89.99904,0.008581425
07.25.15.234895,-115.8936,-10.06626,166.9165,0.1564971,89.99918,0.006217469
07.25.15.250853,-115.8938,-10.06558,166.9164,0.1493903,89.99947,0.001652251
07.25.15.251857,-115.8937,-10.0659,166.9164,0.1529854,89.99933,0.003781396
07.25.15.268805,-115.8939,-10.06516,166.9163,0.1438814,89.99966,-0.0009319768
07.25.15.268805,-115.8938,-10.06553,166.9164,0.1487102,89.99949,0.001333225
