Timestamp,x_POS,y_POS,z_POS,x_ANGLE,y_ANGLE,z_ANGLE
10.32.59.270976,-115.8947,-10.06558,166.9159,0.09958524,90.00074,359.9844
10.32.59.288927,-115.8941,-10.06676,166.9162,0.1229077,89.99995,-0.002764059
10.32.59.290922,-115.8944,-10.06626,166.9161,0.1123664,90.0003,359.9914
10.32.59.303889,-115.8936,-10.06703,166.9164,0.1268529,89.99959,0.003414443
10.32.59.304884,-115.8941,-10.06676,166.9162,0.1230403,89.99994,-0.002556351
10.32.59.321856,-115.8937,-10.067,166.9163,0.1264238,89.99962,0.002742414
10.32.59.339791,-115.8929,-10.06698,166.9164,0.1222448,89.99937,0.006864255
10.32.59.339791,-115.8929,-10.06698,166.9164,0.1222448,89.99937,0.006864255
10.32.59.355748,-115.8918,-10.06674,166.9165,0.1126804,89.99902,0.009921806
10.32.59.356745,-115.8918,-10.06674,166.9165,0.1126804,89.99902,0.009921806
10.32.59.372703,-115.89,-10.06624,166.9166,0.09504193,89.99973,0.01198626
10.32.59.388661,-115.8849,-10.06468,166.9165,0.04280395,90.0032,0.01312355
10.32.59.389911,-115.8876,-10.0655,166.9165,0.06950348,90.00162,0.01303488
10.32.59.404646,-115.88,-10.06342,166.9164,0.002842786,90.00965,0.01205905
10.32.59.406613,-115.8845,-10.06459,166.9165,0.04005808,90.00364,0.01305054
10.32.59.421573,-115.8805,-10.06354,166.9164,0.006757431,90.00902,0.01216353
10.32.59.439554,-115.8754,-10.06238,166.9163,359.9703,90.0096,0.01026985
10.32.59.439554,-115.8754,-10.06238,166.9163,359.9703,90.0096,0.01026985
10.32.59.456479,-115.8693,-10.06117,166.9163,359.9331,90.01026,0.008072793
10.32.59.456479,-115.8693,-10.06117,166.9163,359.9331,90.01026,0.008072793
10.32.59.472437,-115.8624,-10.06,166.9162,359.8983,90.01131,0.005711511
10.32.59.488398,-115.8465,-10.05793,166.9161,359.8386,90.00952,0.000933992
10.32.59.489392,-115.8545,-10.0589,166.9161,359.8666,90.01147,0.003233743
10.32.59.504418,-115.8348,-10.05686,166.9161,359.8097,90.00917,-0.001364098
10.32.59.506378,-115.8457,-10.05786,166.9161,359.8365,90.0095,0.0007664783
10.32.59.522330,-115.8358,-10.05696,166.9161,359.8122,90.0092,-0.001164267
10.32.59.540255,-115.8249,-10.05617,166.9161,359.7912,90.00854,-0.002806526
10.32.59.540255,-115.8249,-10.05617,166.9161,359.7912,90.00854,-0.002806526
10.32.59.556259,-115.8133,-10.05554,166.916,359.7752,90.00977,-0.003929083
10.32.59.557210,-115.8133,-10.05554,166.916,359.7752,90.00977,-0.003929083
