Timestamp,x_POS,y_POS,z_POS,x_ANGLE,y_ANGLE,z_ANGLE
05.28.44.817041,-115.8946,-10.06574,166.916,0.1023909,90.00065,359.9859
05.28.44.833994,-115.8941,-10.06676,166.9162,0.1229077,89.99995,-0.002764059
05.28.44.837986,-115.8943,-10.06641,166.9161,0.1155913,90.0002,359.9932
05.28.44.850949,-115.8939,-10.06721,166.9164,0.1345781,89.99956,0.003413256
05.28.44.852947,-115.8941,-10.06688,166.9162,0.1261439,89.99983,-0.001051105
05.28.44.867906,-115.8937,-10.06749,166.9165,0.1443842,89.99928,0.0081188
05.28.44.868902,-115.8939,-10.06724,166.9164,0.1357418,89.99953,0.003971693
05.28.44.884858,-115.8937,-10.06748,166.9165,0.1439133,89.99928,0.007892801
05.28.44.901843,-115.8936,-10.06759,166.9165,0.1504167,89.9991,0.01067017
05.28.44.901843,-115.8936,-10.06759,166.9165,0.1504167,89.9991,0.01067017
05.28.44.918774,-115.8935,-10.0676,166.9166,0.1554246,89.99895,0.01236183
05.28.44.918774,-115.8935,-10.0676,166.9166,0.1554246,89.99895,0.01236183
05.28.44.934726,-115.8934,-10.06752,166.9166,0.1589507,89.99889,0.01305549
05.28.44.951680,-115.8934,-10.06718,166.9166,0.1616843,89.99889,0.01206776
05.28.44.952680,-115.8934,-10.06736,166.9166,0.1609748,89.99887,0.01282086
05.28.44.968635,-115.8935,-10.06683,166.9166,0.1607618,89.99895,0.0101167
05.28.44.970629,-115.8934,-10.06712,166.9166,0.1615416,89.99889,0.01176577
05.28.44.985592,-115.8936,-10.06644,166.9165,0.1581779,89.9991,0.007482341
05.28.44.987585,-115.8935,-10.06683,166.9166,0.160761,89.99895,0.0101158
05.28.45.004544,-115.8935,-10.06651,166.9165,0.1586082,89.99908,0.007921002
05.28.45.020501,-115.8936,-10.06616,166.9165,0.1555742,89.99921,0.005522995
05.28.45.020501,-115.8936,-10.06616,166.9165,0.1555742,89.99921,0.005522995
05.28.45.036455,-115.8937,-10.0658,166.9164,0.1518305,89.99937,0.003097415
05.28.45.036455,-115.8937,-10.0658,166.9164,0.1518305,89.99937,0.003097415
05.28.45.052411,-115.8938,-10.06544,166.9164,0.147502,89.99953,0.0007664444
05.28.45.068368,-115.8941,-10.06477,166.9163,0.1380833,89.99981,-0.002959061
05.28.45.070363,-115.894,-10.0651,166.9163,0.14286,89.99968,-0.001289102
05.28.45.085324,-115.8942,-10.06443,166.9162,0.1323058,89.99992,-0.004430811
05.28.45.086320,-115.8941,-10.06477,166.9163,0.1380285,89.99981,-0.002973028
05.28.45.102278,-115.8942,-10.06448,166.9162,0.1332136,89.9999,-0.004199557
05.28.45.120230,-115.8943,-10.06422,166.9162,0.1285611,89.99997,-0.004998124
05.28.45.120230,-115.8943,-10.06422,166.9162,0.1285611,89.99997,-0.004998124
05.28.45.137210,-115.8944,-10.06401,166.9162,0.1242067,90,-0.005474056
05.28.45.138182,-115.8944,-10.06401,166.9162,0.1242067,90,-0.005474056
05.28.45.154138,-115.8944,-10.06383,166.9162,0.1202871,90,-0.005582724
05.28.45.169109,-115.8946,-10.0636,166.9162,0.1142251,89.99997,-0.004868637
05.28.45.171093,-115.8945,-10.06369,166.9162,0.1168722,89.99998,-0.005319244
05.28.45.186411,-115.8946,-10.06355,166.9162,0.1116714,89.99992,-0.003882303
05.28.45.187406,-115.8946,-10.0636,166.9162,0.1140662,89.99997,-0.004807278
