Timestamp,x_POS,y_POS,z_POS,x_ANGLE,y_ANGLE,z_ANGLE
10.12.35.648465,-115.8945,-10.06609,166.916,0.1089253,90.00041,359.9895
10.12.35.653461,-115.8945,-10.06609,166.916,0.1089253,90.00041,359.9895
10.12.35.663404,-115.8939,-10.06721,166.9164,0.1345781,89.99956,0.003413256
10.12.35.674407,-115.8941,-10.06687,166.9163,0.1258045,89.99986,-0.001230724
10.12.35.674407,-115.8941,-10.06687,166.9163,0.1258045,89.99986,-0.001230724
10.12.35.686342,-115.8937,-10.06748,166.9165,0.143961,89.99929,0.008110988
10.12.35.697311,-115.8938,-10.06731,166.9164,0.1382788,89.99946,0.005266097
10.12.35.706969,-115.8932,-10.06746,166.9165,0.1455004,89.99928,0.01133594
10.12.35.722962,-115.8935,-10.06747,166.9165,0.1446625,89.99928,0.009580618
10.12.35.732899,-115.8925,-10.06714,166.9166,0.137995,89.99883,0.01293512
10.12.35.742872,-115.8927,-10.06722,166.9166,0.139833,89.99895,0.01254351
10.12.35.742872,-115.8927,-10.06722,166.9166,0.139833,89.99895,0.01254351
10.12.35.763815,-115.8912,-10.06652,166.9166,0.1187105,89.99976,0.01304967
10.12.35.763815,-115.8912,-10.06652,166.9166,0.1187105,89.99976,0.01304967
10.12.35.784789,-115.8886,-10.06538,166.9165,0.08253052,90.00412,0.0121613
10.12.35.785758,-115.8886,-10.06538,166.9165,0.08253052,90.00412,0.0121613
10.12.35.806701,-115.8845,-10.06395,166.9165,0.03616191,90.00077,0.009611416
10.12.35.806701,-115.8845,-10.06395,166.9165,0.03616191,90.00077,0.009611416
10.12.35.823656,-115.8727,-10.06092,166.9164,359.9407,89.99957,0.003637354
10.12.35.832632,-115.8772,-10.06198,166.9164,359.974,90.00172,0.005909385
10.12.35.832632,-115.8772,-10.06198,166.9164,359.974,90.00172,0.005909385
10.12.35.842605,-115.8648,-10.05953,166.9164,359.8992,89.99772,0.0009386721
10.12.35.852613,-115.8709,-10.0606,166.9164,359.9312,89.99915,0.003016434
10.12.35.862553,-115.8556,-10.05817,166.9164,359.8576,89.99693,-0.001340896
10.12.35.872564,-115.8625,-10.05919,166.9164,359.8888,89.99752,0.0003692511
10.12.35.884494,-115.845,-10.05705,166.9164,359.8251,89.99644,-0.003207622
10.12.35.895497,-115.852,-10.05779,166.9164,359.8466,89.99677,-0.001970817
10.12.35.906435,-115.8331,-10.05601,166.9163,359.7938,89.99628,-0.004481807
10.12.35.923388,-115.84,-10.05661,166.9164,359.8119,89.99636,-0.003745264
10.12.35.935357,-115.8198,-10.05515,166.9162,359.7681,89.99959,-0.004814843
10.12.35.944364,-115.8215,-10.05527,166.9163,359.7715,89.99915,-0.004770451
10.12.35.944364,-115.8215,-10.05527,166.9163,359.7715,89.99915,-0.004770451
10.12.35.966275,-115.8059,-10.05456,166.9162,359.7508,90.00313,-0.004839541
10.12.35.966275,-115.8059,-10.05456,166.9162,359.7508,90.00313,-0.004839541
10.12.35.979239,-115.7722,-10.05395,166.9161,359.7345,90.00443,-0.004345915
10.12.35.989212,-115.7888,-10.05418,166.9161,359.7409,90.00491,-0.004717467
10.12.35.989212,-115.7888,-10.05418,166.9161,359.7409,90.00491,-0.004717467
10.12.36.003175,-115.7538,-10.05385,166.9161,359.7313,90.00509,-0.003480059
10.12.36.012185,-115.7671,-10.05393,166.9161,359.7336,90.00462,-0.004106509
10.12.36.022125,-115.734,-10.05388,166.9161,359.7315,90.00594,-0.002492486
10.12.36.033096,-115.7492,-10.05386,166.9161,359.7313,90.00529,-0.003251366
10.12.36.044068,-115.713,-10.05406,166.9162,359.7367,90.00488,-0.001493092
10.12.36.053042,-115.7273,-10.05394,166.9161,359.7332,90.00561,-0.002170769
10.12.36.067013,-115.6909,-10.05436,166.9163,359.7454,90.00143,-0.0006534234
10.12.36.076015,-115.7034,-10.05419,166.9162,359.7405,90.00339,-0.001129221
10.12.36.087953,-115.6675,-10.05475,166.9163,359.7574,89.99955,0.000224211
10.12.36.097942,-115.6796,-10.05455,166.9163,359.7512,90.00053,-0.0002307612
