Timestamp,x_POS,y_POS,z_POS,x_ANGLE,y_ANGLE,z_ANGLE
07.54.29.341784,-115.8946,-10.06567,166.916,0.1012874,90.00068,359.9853
07.54.29.358738,-115.8941,-10.06676,166.9162,0.1229077,89.99995,-0.002764059
07.54.29.362732,-115.8943,-10.06635,166.9161,0.1141417,90.00024,359.9924
07.54.29.375693,-115.8939,-10.06721,166.9164,0.1345781,89.99956,0.003413256
07.54.29.377690,-115.8941,-10.06683,166.9162,0.1248573,89.99989,-0.001732097
07.54.29.391860,-115.8937,-10.06749,166.9165,0.1443842,89.99928,0.0081188
07.54.29.392866,-115.8939,-10.06721,166.9164,0.134608,89.99955,0.003427637
07.54.29.414889,-115.8935,-10.06761,166.9165,0.1520659,89.99905,0.01136767
07.54.29.414889,-115.8937,-10.06751,166.9165,0.1455774,89.99924,0.008623474
07.54.29.431352,-115.8935,-10.06761,166.9165,0.1519808,89.99905,0.01133166
07.54.29.448306,-115.8935,-10.06758,166.9166,0.1559657,89.999,0.01267748
07.54.29.449303,-115.8935,-10.06758,166.9166,0.1559657,89.999,0.01267748
07.54.29.466397,-115.8934,-10.06744,166.9166,0.1578066,89.99899,0.01304248
07.54.29.466397,-115.8934,-10.06744,166.9166,0.1578066,89.99899,0.01304248
07.54.29.482672,-115.8933,-10.06721,166.9166,0.1572262,89.99895,0.0124933
07.54.29.482672,-115.8933,-10.06721,166.9166,0.1572262,89.99895,0.0124933
07.54.29.499718,-115.8932,-10.06692,166.9166,0.1551292,89.99898,0.01123025
07.54.29.515677,-115.8928,-10.06615,166.9165,0.1453972,89.99871,0.007114691
07.54.29.516673,-115.893,-10.06656,166.9165,0.1515857,89.99902,0.009365501
07.54.29.534625,-115.8926,-10.06569,166.9165,0.140051,89.99516,0.004025641
07.54.29.535622,-115.8928,-10.06608,166.9165,0.1445718,89.99815,0.006637724
07.54.29.551738,-115.8926,-10.06569,166.9165,0.1400706,89.99516,0.004036948
07.54.29.569144,-115.8922,-10.06525,166.9166,0.1327548,89.99022,0.001598462
07.54.29.569144,-115.8922,-10.06525,166.9166,0.1327548,89.99022,0.001598462
07.54.29.584696,-115.8916,-10.06475,166.9166,0.1221449,89.98587,-0.0005179016
07.54.29.585692,-115.8916,-10.06475,166.9166,0.1221449,89.98587,-0.0005179016
07.54.29.601650,-115.8909,-10.06421,166.9167,0.1088239,89.98251,-0.002283952
07.54.29.617612,-115.8889,-10.06323,166.9167,0.0820144,89.97941,-0.004530367
07.54.29.619602,-115.8898,-10.06365,166.9167,0.09381888,89.98033,-0.003684675
07.54.29.634561,-115.8871,-10.06266,166.9167,0.06576125,89.97689,-0.005186792
07.54.29.635559,-115.8886,-10.06312,166.9167,0.07897038,89.97894,-0.004653364
07.54.29.651516,-115.8847,-10.06208,166.9168,0.0470891,89.9744,-0.005292
07.54.29.652514,-115.887,-10.06264,166.9167,0.06510524,89.97681,-0.0051905
07.54.29.669468,-115.885,-10.06215,166.9168,0.04927975,89.9747,-0.005279698
07.54.29.686423,-115.8826,-10.06171,166.9169,0.03399532,89.96967,-0.005233234
07.54.29.687421,-115.8826,-10.06171,166.9169,0.03399532,89.96967,-0.005233234
07.54.29.703380,-115.8798,-10.06129,166.917,0.01895135,89.96425,-0.004866324
07.54.29.703380,-115.8798,-10.06129,166.917,0.01895135,89.96425,-0.004866324
07.54.29.720332,-115.8764,-10.06085,166.9171,0.001633252,89.96033,-0.00417569
07.54.29.737286,-115.8685,-10.05996,166.9172,359.9637,89.95735,-0.00225232
07.54.29.738285,-115.8723,-10.06034,166.9172,359.9802,89.9581,-0.003160871
07.54.29.754246,-115.862,-10.05928,166.9172,359.9333,89.95753,-0.001075152
07.54.29.755238,-115.8677,-10.05987,166.9172,359.9597,89.95737,-0.002096978
07.54.29.771197,-115.8622,-10.0593,166.9172,359.9343,89.95752,-0.001110703
07.54.29.788155,-115.8559,-10.05882,166.9173,359.912,89.95788,-0.0003240341
07.54.29.788155,-115.8559,-10.05882,166.9173,359.912,89.95788,-0.0003240341
07.54.29.805105,-115.8485,-10.05828,166.9173,359.8868,89.95817,0.000350935
07.54.29.805105,-115.8485,-10.05828,166.9173,359.8868,89.95817,0.000350935
07.54.29.822063,-115.8404,-10.05779,166.9173,359.8638,89.9584,0.000828703
07.54.29.838017,-115.8238,-10.05705,166.9172,359.8289,89.96037,0.001374328
07.54.29.839014,-115.8314,-10.05736,166.9173,359.8435,89.95916,0.001164712
07.54.29.854973,-115.811,-10.05671,166.9173,359.8128,89.96008,0.001281134
07.54.29.855971,-115.8217,-10.05699,166.9172,359.8262,89.96031,0.001359007
07.54.29.871926,-115.797,-10.05638,166.9172,359.797,89.96243,0.001321763
07.54.29.872924,-115.8109,-10.05671,166.9173,359.8127,89.96009,0.001281414
07.54.29.888936,-115.799,-10.05643,166.9172,359.7993,89.96209,0.001316007
07.54.29.907273,-115.7858,-10.05618,166.9171,359.7874,89.96671,0.001358316
07.54.29.907273,-115.7858,-10.05618,166.9171,359.7874,89.96671,0.001358316
07.54.29.923302,-115.7723,-10.05602,166.9171,359.7792,89.96897,0.001083867
07.54.29.924302,-115.7723,-10.05602,166.9171,359.7792,89.96897,0.001083867
07.54.29.942246,-115.756,-10.0559,166.9171,359.7729,89.97121,0.0007023943
07.54.29.958208,-115.7278,-10.05581,166.917,359.7681,89.97336,9.52499E-05
07.54.29.961194,-115.7407,-10.05583,166.917,359.7695,89.97311,0.0003987021
07.54.29.975159,-115.7074,-10.05585,166.917,359.7694,89.97316,-0.0003176197
07.54.29.977151,-115.7243,-10.05582,166.917,359.7684,89.97333,2.442613E-05
07.54.29.992112,-115.7075,-10.05585,166.917,359.7694,89.97316,-0.0003160589
07.54.30.009264,-115.6894,-10.0559,166.917,359.7719,89.97262,-0.000582625
07.54.30.009264,-115.6894,-10.0559,166.917,359.7719,89.97262,-0.000582625
07.54.30.026808,-115.6698,-10.05598,166.9171,359.7752,89.97212,-0.000821123
07.54.30.026808,-115.6698,-10.05598,166.9171,359.7752,89.97212,-0.000821123
07.54.30.043079,-115.6501,-10.05606,166.9171,359.7787,89.97178,-0.0009746766
07.54.30.044157,-115.6501,-10.05606,166.9171,359.7787,89.97178,-0.0009746766
07.54.30.060112,-115.6295,-10.05614,166.9171,359.7822,89.97157,-0.001054158
07.54.30.075073,-115.587,-10.05625,166.9171,359.7877,89.97142,-0.001049081
07.54.30.077067,-115.6082,-10.0562,166.9171,359.7854,89.97144,-0.001072721
07.54.30.092031,-115.5591,-10.05629,166.9172,359.7897,89.97144,-0.0009789714
07.54.30.093024,-115.586,-10.05625,166.9171,359.7878,89.97142,-0.001046707
07.54.30.108981,-115.5628,-10.05628,166.9171,359.7894,89.97144,-0.0009882962
07.54.30.125935,-115.5388,-10.05633,166.9172,359.7916,89.97145,-0.0008665259
07.54.30.126933,-115.5388,-10.05633,166.9172,359.7916,89.97145,-0.0008665259
07.54.30.143887,-115.5133,-10.05636,166.9172,359.7936,89.97145,-0.0007421209
07.54.30.143887,-115.5133,-10.05636,166.9172,359.7936,89.97145,-0.0007421209
07.54.30.162836,-115.4826,-10.05641,166.9172,359.7961,89.97148,-0.0006554488
07.54.30.162836,-115.4826,-10.05641,166.9172,359.7961,89.97148,-0.0006554488
07.54.30.187770,-115.4552,-10.05645,166.9172,359.7983,89.9715,-0.0006097048
07.54.30.202730,-115.4017,-10.05653,166.9172,359.8025,89.97151,-0.0004182448
07.54.30.203729,-115.4167,-10.0565,166.9172,359.8013,89.97152,-0.0004865672
07.54.30.203729,-115.4167,-10.0565,166.9172,359.8013,89.97152,-0.0004865672
07.54.30.221349,-115.3877,-10.05655,166.9172,359.8036,89.97152,-0.0003687724
07.54.30.237308,-115.3305,-10.05664,166.9173,359.8078,89.97152,-0.0002190876
07.54.30.238304,-115.3582,-10.0566,166.9173,359.8058,89.97151,-0.000276891
07.54.30.254262,-115.2932,-10.0567,166.9173,359.8105,89.97152,-0.0001835156
07.54.30.256256,-115.3246,-10.05665,166.9173,359.8083,89.97151,-0.000213518
07.54.30.271217,-115.2547,-10.05677,166.9173,359.8132,89.97154,-0.0001787264
07.54.30.272214,-115.2924,-10.05671,166.9173,359.8106,89.97152,-0.0001833889
07.54.30.288171,-115.2603,-10.05676,166.9173,359.8128,89.97154,-0.0001794268
07.54.30.307120,-115.2264,-10.05682,166.9173,359.8151,89.97157,-0.0001908728
07.54.30.308126,-115.2264,-10.05682,166.9173,359.8151,89.97157,-0.0001908728
07.54.30.323637,-115.1928,-10.05687,166.9173,359.8173,89.9716,-0.0002146318
07.54.30.323637,-115.1928,-10.05687,166.9173,359.8173,89.9716,-0.0002146318
07.54.30.340587,-115.1581,-10.05694,166.9173,359.8196,89.97163,-0.0002455879
07.54.30.355545,-115.0899,-10.05706,166.9174,359.8241,89.97167,-0.0003094744
07.54.30.357546,-115.1231,-10.057,166.9174,359.8219,89.97166,-0.0002785183
07.54.30.373497,-115.046,-10.05714,166.9174,359.8271,89.97169,-0.0003518697
07.54.30.375503,-115.0849,-10.05706,166.9174,359.8245,89.97168,-0.0003143236
07.54.30.390457,-115.0483,-10.05713,166.9174,359.827,89.97169,-0.0003496419
07.54.30.408404,-115.0109,-10.0572,166.9174,359.8297,89.9717,-0.0003798175
07.54.30.408404,-115.0109,-10.0572,166.9174,359.8297,89.9717,-0.0003798175
07.54.30.425358,-114.9721,-10.05728,166.9174,359.8325,89.97172,-0.0004060644
