Timestamp,x_POS,y_POS,z_POS,x_ANGLE,y_ANGLE,z_ANGLE
11.50.43.484576,-115.8947,-10.0656,166.9159,0.09989919,90.00072,359.9846
11.50.43.516492,-115.8941,-10.06676,166.9162,0.1229077,89.99995,-0.002764059
11.50.43.517521,-115.8942,-10.06672,166.9162,0.1221533,89.99998,-0.003179754
11.50.43.518543,-115.8942,-10.06672,166.9162,0.1221533,89.99998,-0.003179754
11.50.43.534443,-115.8939,-10.06711,166.9163,0.1319719,89.99966,0.002033767
11.50.43.534443,-115.8939,-10.06711,166.9163,0.1319719,89.99966,0.002033767
11.50.43.551398,-115.8938,-10.06738,166.9164,0.1407042,89.99939,0.006352922
11.50.43.551398,-115.8938,-10.06738,166.9164,0.1407042,89.99939,0.006352922
11.50.43.567355,-115.8936,-10.06755,166.9165,0.1480095,89.99918,0.009652083
11.50.43.583313,-115.8934,-10.06759,166.9166,0.1574945,89.99892,0.01297453
11.50.43.584309,-115.8935,-10.0676,166.9165,0.153723,89.99902,0.01185818
11.50.43.600269,-115.8934,-10.06744,166.9166,0.160664,89.99887,0.01315075
11.50.43.601264,-115.8934,-10.06757,166.9166,0.1579337,89.9989,0.01299895
11.50.43.617222,-115.8934,-10.06744,166.9166,0.1605748,89.99886,0.01314579
11.50.43.635183,-115.8934,-10.06722,166.9166,0.1614966,89.99888,0.01226699
11.50.43.635183,-115.8934,-10.06722,166.9166,0.1614966,89.99888,0.01226699
11.50.43.651131,-115.8935,-10.06695,166.9166,0.1610697,89.99893,0.01076786
11.50.43.652128,-115.8935,-10.06695,166.9166,0.1610697,89.99893,0.01076786
11.50.43.679058,-115.8937,-10.06601,166.9164,0.1542737,89.99928,0.004544353
11.50.43.681051,-115.8936,-10.0664,166.9165,0.1578361,89.99911,0.007225099
11.50.43.681051,-115.8936,-10.0664,166.9165,0.1578361,89.99911,0.007225099
11.50.43.700060,-115.8938,-10.06558,166.9164,0.1493903,89.99947,0.001652251
11.50.43.701058,-115.8937,-10.06596,166.9164,0.1536264,89.99931,0.004161001
11.50.43.717550,-115.8938,-10.0656,166.9164,0.1495546,89.99946,0.001749555
11.50.43.734516,-115.8938,-10.06521,166.9163,0.1433052,89.99957,-0.0004168228
11.50.43.734516,-115.8938,-10.06521,166.9163,0.1433052,89.99957,-0.0004168228
11.50.43.751459,-115.8938,-10.0648,166.9163,0.1347655,89.99954,-0.002225287
11.50.43.751459,-115.8938,-10.0648,166.9163,0.1347655,89.99954,-0.002225287
11.50.43.767416,-115.8937,-10.06443,166.9163,0.1272142,89.99929,-0.00366628
11.50.43.783374,-115.8935,-10.06393,166.9164,0.1184633,89.99299,-0.005527349
11.50.43.784371,-115.8936,-10.06413,166.9163,0.1218007,89.99722,-0.004779175
11.50.43.800328,-115.8933,-10.06367,166.9165,0.1125773,89.98689,359.9943
11.50.43.801325,-115.8935,-10.0639,166.9164,0.1176792,89.99218,-0.00555493
11.50.43.827815,-115.8932,-10.06347,166.9164,0.1079198,89.99089,-0.005013481
11.50.43.828819,-115.8932,-10.06357,166.9164,0.1102946,89.98885,-0.005380885
