Timestamp,x_POS,y_POS,z_POS,x_ANGLE,y_ANGLE,z_ANGLE
06.42.49.645117,-115.8946,-10.06568,166.916,0.1013759,90.00068,359.9854
06.42.49.668059,-115.8941,-10.06676,166.9162,0.1229077,89.99995,-0.002764059
06.42.49.670050,-115.8942,-10.06653,166.9162,0.1180471,90.00011,-0.005442452
06.42.49.671048,-115.8942,-10.06653,166.9162,0.1180471,90.00011,-0.005442452
06.42.49.686007,-115.894,-10.06697,166.9163,0.1283254,89.99977,0.000103627
06.42.49.700968,-115.8937,-10.06749,166.9165,0.1443842,89.99928,0.0081188
06.42.49.702962,-115.8938,-10.06729,166.9164,0.1374956,89.99947,0.004813249
06.42.49.717923,-115.8935,-10.06761,166.9165,0.1520659,89.99905,0.01136767
06.42.49.719918,-115.8937,-10.06751,166.9165,0.1453897,89.99924,0.00854408
06.42.49.734879,-115.8936,-10.06761,166.9165,0.1517975,89.99906,0.01125415
06.42.49.752829,-115.8935,-10.06759,166.9166,0.156436,89.99895,0.01266123
06.42.49.752829,-115.8935,-10.06759,166.9166,0.156436,89.99895,0.01266123
06.42.49.769785,-115.8934,-10.06749,166.9166,0.1595648,89.99889,0.01308963
06.42.49.770781,-115.8934,-10.06749,166.9166,0.1595648,89.99889,0.01308963
06.42.49.785741,-115.8934,-10.06731,166.9166,0.1611612,89.99887,0.01262299
06.42.49.801698,-115.8935,-10.06683,166.9166,0.1607618,89.99895,0.0101167
06.42.49.803693,-115.8934,-10.06706,166.9166,0.1613661,89.99891,0.01139485
06.42.49.821647,-115.8936,-10.06644,166.9165,0.1581779,89.9991,0.007482341
06.42.49.822642,-115.8935,-10.06671,166.9165,0.1599302,89.99901,0.009268817
06.42.49.838610,-115.8937,-10.06601,166.9164,0.1542737,89.99928,0.004544353
06.42.49.840594,-115.8936,-10.06636,166.9165,0.157423,89.99914,0.006914298
06.42.49.856553,-115.8938,-10.06558,166.9164,0.1493903,89.99947,0.001652251
06.42.49.857549,-115.8937,-10.066,166.9164,0.1540634,89.99928,0.004419789
06.42.49.873508,-115.8938,-10.06563,166.9164,0.1499411,89.99945,0.00197848
06.42.49.891457,-115.8939,-10.06528,166.9163,0.1453484,89.99961,-0.0002437998
06.42.49.892456,-115.8939,-10.06528,166.9163,0.1453484,89.99961,-0.0002437998
