Timestamp,x_POS,y_POS,z_POS,x_ANGLE,y_ANGLE,z_ANGLE
10.14.15.415377,-115.8945,-10.06596,166.916,0.1064556,90.0005,359.9882
10.14.15.420397,-115.8945,-10.06596,166.916,0.1064556,90.0005,359.9882
10.14.15.439312,-115.8939,-10.06721,166.9164,0.1345781,89.99956,0.003413256
10.14.15.447291,-115.894,-10.06698,166.9163,0.1287373,89.99976,0.0003216734
10.14.15.447291,-115.894,-10.06698,166.9163,0.1287373,89.99976,0.0003216734
10.14.15.458263,-115.8937,-10.0675,166.9165,0.1447175,89.99928,0.008110375
10.14.15.470230,-115.8938,-10.06734,166.9164,0.1392011,89.99943,0.005554928
10.14.15.480204,-115.8936,-10.06766,166.9165,0.1543032,89.99907,0.01133025
10.14.15.490208,-115.8937,-10.06758,166.9165,0.1495806,89.99917,0.009743911
10.14.15.490208,-115.8937,-10.06758,166.9165,0.1495806,89.99917,0.009743911
10.14.15.510124,-115.8935,-10.0676,166.9166,0.1548941,89.99892,0.01214319
10.14.15.511153,-115.8935,-10.0676,166.9166,0.1548941,89.99892,0.01214319
10.14.15.531067,-115.8933,-10.06743,166.9166,0.1557196,89.99856,0.01295635
10.14.15.531067,-115.8933,-10.06743,166.9166,0.1557196,89.99856,0.01295635
10.14.15.552012,-115.893,-10.06709,166.9167,0.1531717,89.99625,0.01212979
10.14.15.552012,-115.893,-10.06709,166.9167,0.1531717,89.99625,0.01212979
10.14.15.578971,-115.8926,-10.06668,166.9167,0.1484179,89.99585,0.01049513
10.14.15.578971,-115.8926,-10.06668,166.9167,0.1484179,89.99585,0.01049513
10.14.15.599885,-115.8921,-10.06598,166.9164,0.1382536,90.00318,0.007498516
10.14.15.599885,-115.8921,-10.06598,166.9164,0.1382536,90.00318,0.007498516
10.14.15.614844,-115.8902,-10.0646,166.9161,0.1077223,90.01232,0.001598381
10.14.15.622854,-115.891,-10.06514,166.9162,0.1206399,90.00976,0.003809147
10.14.15.622854,-115.891,-10.06514,166.9162,0.1206399,90.00976,0.003809147
10.14.15.631798,-115.8886,-10.06386,166.916,0.08904857,90.01307,-0.001198353
10.14.15.642801,-115.89,-10.0645,166.9161,0.105231,90.01243,0.001225274
10.14.15.653741,-115.8867,-10.06316,166.9159,0.07089104,90.01447,-0.00332284
10.14.15.664738,-115.8882,-10.06371,166.916,0.08517967,90.01337,-0.001650993
10.14.15.674684,-115.8843,-10.0625,166.9158,0.05284581,90.01625,-0.004762968
10.14.15.686651,-115.886,-10.06297,166.9159,0.06550492,90.015,-0.003752631
10.14.15.696625,-115.8814,-10.06189,166.9158,0.0350887,90.01556,-0.005628676
10.14.15.706622,-115.8832,-10.06228,166.9158,0.04629382,90.01598,-0.005082423
10.14.15.716572,-115.8778,-10.0613,166.9158,0.01650146,90.01545,-0.005700293
10.14.15.728540,-115.8801,-10.06168,166.9158,0.02846787,90.01552,-0.005654195
10.14.15.738518,-115.8734,-10.06067,166.916,359.9937,90.00988,-0.005496867
10.14.15.748516,-115.8758,-10.06101,166.9159,0.005834327,90.01285,-0.005605305
10.14.15.758463,-115.8681,-10.06003,166.9161,359.9689,90.00325,-0.004770766
10.14.15.768433,-115.871,-10.06039,166.9161,359.9827,90.00693,-0.005175123
10.14.15.778410,-115.8615,-10.05926,166.9163,359.9368,89.99821,-0.003769496
10.14.15.796392,-115.8652,-10.05969,166.9162,359.9548,90.00105,-0.0043319
10.14.15.806331,-115.8537,-10.05852,166.9162,359.9052,90.00089,-0.002312795
10.14.15.815338,-115.855,-10.05864,166.9162,359.9102,90.00047,-0.002545523
10.14.15.815338,-115.855,-10.05864,166.9162,359.9102,90.00047,-0.002545523
10.14.15.832262,-115.8343,-10.05724,166.9163,359.8481,89.99915,-0.0003812246
10.14.15.840258,-115.8436,-10.05775,166.9163,359.8709,89.99951,-0.001269384
10.14.15.840258,-115.8436,-10.05775,166.9163,359.8709,89.99951,-0.001269384
10.14.15.850214,-115.8225,-10.05667,166.9164,359.8222,89.99908,0.000405391
10.14.15.862215,-115.8338,-10.05721,166.9163,359.8471,89.99915,-0.0003496282
10.14.15.873153,-115.8094,-10.05623,166.9165,359.8012,89.99305,0.0006686688
10.14.15.883158,-115.82,-10.05658,166.9164,359.8181,89.99792,0.0004560174
10.14.15.894099,-115.795,-10.05586,166.9165,359.7834,89.99241,0.001210373
10.14.15.905098,-115.8058,-10.05614,166.9165,359.7968,89.9929,0.000802192
10.14.15.918034,-115.7793,-10.05565,166.9164,359.7726,89.99625,0.001550865
10.14.15.928033,-115.7893,-10.05578,166.9165,359.7794,89.9938,0.001333838
10.14.15.940976,-115.7624,-10.05556,166.9164,359.7667,89.99648,0.001404456
10.14.15.948981,-115.7695,-10.0556,166.9164,359.7692,89.99638,0.001465688
10.14.15.948981,-115.7695,-10.0556,166.9164,359.7692,89.99638,0.001465688
10.14.15.970926,-115.7523,-10.05558,166.9164,359.7663,89.99617,0.001256272
10.14.15.970926,-115.7523,-10.05558,166.9164,359.7663,89.99617,0.001256272
10.14.15.990841,-115.734,-10.05562,166.9164,359.7663,89.99747,0.001071548
10.14.15.991835,-115.734,-10.05562,166.9164,359.7663,89.99747,0.001071548
10.14.16.017766,-115.7103,-10.05573,166.9163,359.7683,90.001,0.0008215103
10.14.16.017766,-115.7103,-10.05573,166.9163,359.7683,90.001,0.0008215103
10.14.16.030731,-115.6599,-10.05607,166.9162,359.7794,90.00369,-8.797267E-05
10.14.16.039707,-115.6826,-10.05591,166.9163,359.7739,90.00324,0.0003474219
10.14.16.039707,-115.6826,-10.05591,166.9163,359.7739,90.00324,0.0003474219
10.14.16.052673,-115.6358,-10.05623,166.9162,359.7851,90.00363,-0.0005355533
10.14.16.060686,-115.6565,-10.05609,166.9162,359.7802,90.00368,-0.0001499117
10.14.16.070625,-115.6104,-10.05636,166.9162,359.7901,90.00339,-0.0009086213
10.14.16.080631,-115.6345,-10.05624,166.9162,359.7853,90.00361,-0.0005547167
10.14.16.092573,-115.5838,-10.05645,166.9162,359.7934,90.00312,-0.001103603
10.14.16.101576,-115.6071,-10.05637,166.9162,359.7905,90.00335,-0.0009330075
10.14.16.114507,-115.5559,-10.05651,166.9162,359.7957,90.00293,-0.001155116
10.14.16.122519,-115.5783,-10.05646,166.9162,359.7938,90.00308,-0.001113668
10.14.16.132460,-115.5268,-10.05656,166.9163,359.798,90.00281,-0.001120418
10.14.16.142434,-115.5517,-10.05652,166.9162,359.796,90.00291,-0.001150087
10.14.16.156400,-115.4964,-10.05659,166.9163,359.7997,90.00273,-0.0009680985
10.14.16.165371,-115.5173,-10.05657,166.9163,359.7985,90.00279,-0.001073013
10.14.16.177353,-115.4649,-10.05662,166.9163,359.8018,90.00268,-0.0008260576
10.14.16.186348,-115.4844,-10.0566,166.9163,359.8005,90.00271,-0.0009141502
10.14.16.199318,-115.4321,-10.05664,166.9163,359.8036,90.00268,-0.0007070755
10.14.16.210286,-115.4501,-10.05663,166.9163,359.8026,90.00268,-0.0007722295
10.14.16.219262,-115.3982,-10.05667,166.9163,359.8055,90.00268,-0.0005983387
10.14.16.236216,-115.4151,-10.05666,166.9163,359.8045,90.00268,-0.0006526203
10.14.16.236216,-115.4151,-10.05666,166.9163,359.8045,90.00268,-0.0006526203
10.14.16.253174,-115.3269,-10.05673,166.9163,359.8094,90.00273,-0.000408693
10.14.16.253174,-115.3269,-10.05673,166.9163,359.8094,90.00273,-0.000408693
10.14.16.264178,-115.3577,-10.0567,166.9163,359.8077,90.00271,-0.0004846393
10.14.16.275121,-115.2896,-10.05667,166.916,359.8115,90.01101,0.009900132
10.14.16.287132,-115.3157,-10.05671,166.9162,359.81,90.0052,0.002666396
10.14.16.298065,-115.2513,-10.05651,166.9152,359.8139,90.03495,0.03328832
10.14.16.310034,-115.2741,-10.0566,166.9156,359.8125,90.02067,0.01934087
10.14.16.321006,-115.2121,-10.05625,166.9136,359.8167,90.07972,0.06813209
10.14.16.334002,-115.2286,-10.05635,166.9142,359.8156,90.06096,0.05352422
10.14.16.334002,-115.2286,-10.05635,166.9142,359.8156,90.06096,0.05352422
10.14.16.355909,-115.1805,-10.05599,166.9116,359.8194,90.13434,0.1022217
10.14.16.355909,-115.1805,-10.05599,166.9116,359.8194,90.13434,0.1022217
10.14.16.376854,-115.1393,-10.05565,166.9081,359.8234,90.22577,0.1495173
10.14.16.376854,-115.1393,-10.05565,166.9081,359.8234,90.22577,0.1495173
10.14.16.392421,-115.0475,-10.05508,166.8963,359.8344,90.51244,0.2416821
10.14.16.400431,-115.0856,-10.05525,166.9019,359.8296,90.38203,0.2095654
10.14.16.400431,-115.0856,-10.05525,166.9019,359.8296,90.38203,0.2095654
10.14.16.411370,-115.0043,-10.05512,166.8894,359.8395,90.66496,0.2506453
10.14.16.423337,-115.0437,-10.05508,166.8957,359.8349,90.52573,0.2424622
