Timestamp,x_POS,y_POS,z_POS,x_ANGLE,y_ANGLE,z_ANGLE
08.18.18.671442,-115.8946,-10.06575,166.916,0.1026971,90.00062,359.9861
08.18.18.677425,-115.8946,-10.06575,166.916,0.1026971,90.00062,359.9861
08.18.18.690391,-115.8943,-10.06635,166.9161,0.1141625,90.00024,359.9924
08.18.18.704356,-115.8938,-10.06717,166.9164,0.1329463,89.99956,0.003413843
08.18.18.705392,-115.8941,-10.06683,166.9162,0.1246044,89.99989,-0.001719891
08.18.18.721310,-115.8933,-10.06732,166.9165,0.1366506,89.99924,0.008110272
08.18.18.722306,-115.8938,-10.06717,166.9164,0.1329802,89.99955,0.003456885
08.18.18.737267,-115.8934,-10.06729,166.9165,0.1360672,89.99929,0.007370574
08.18.18.755247,-115.8926,-10.06712,166.9165,0.1292856,89.9991,0.01028581
08.18.18.755247,-115.8926,-10.06712,166.9165,0.1292856,89.9991,0.01028581
08.18.18.772172,-115.8915,-10.06674,166.9166,0.11702,89.99908,0.01216013
08.18.18.772172,-115.8915,-10.06674,166.9166,0.11702,89.99908,0.01216013
08.18.18.791123,-115.8896,-10.06608,166.9166,0.09618562,89.99884,0.01293637
08.18.18.806083,-115.8847,-10.06446,166.9166,0.0457803,89.9997,0.0117213
08.18.18.807079,-115.8872,-10.06528,166.9166,0.07073123,89.99879,0.01259514
08.18.18.822040,-115.8799,-10.06312,166.9165,0.003643961,90.00139,0.00965465
08.18.18.824037,-115.8842,-10.06434,166.9166,0.04184576,89.99986,0.01152838
08.18.18.840990,-115.8739,-10.06173,166.9164,359.9612,90.00372,0.007144678
08.18.18.841995,-115.8798,-10.06311,166.9165,0.003229341,90.00141,0.00963015
08.18.18.857943,-115.8748,-10.06194,166.9164,359.9678,90.00336,0.007535794
08.18.18.874897,-115.8689,-10.06083,166.9164,359.9349,90.00194,0.005111492
08.18.18.874897,-115.8689,-10.06083,166.9164,359.9349,90.00194,0.005111492
08.18.18.891852,-115.862,-10.0597,166.9164,359.9019,90.00174,0.002699886
08.18.18.892850,-115.862,-10.0597,166.9164,359.9019,90.00174,0.002699886
08.18.18.908806,-115.8543,-10.05865,166.9163,359.8711,90.00203,0.0005016333
08.18.18.924765,-115.8369,-10.0569,166.9162,359.8215,90.00163,-0.003160758
08.18.18.925761,-115.8458,-10.05769,166.9162,359.8432,90.00156,-0.001534083
08.18.18.940722,-115.8243,-10.05599,166.9162,359.795,90.00175,-0.004576763
08.18.18.941721,-115.8364,-10.05687,166.9162,359.8205,90.00163,-0.003212679
08.18.18.958673,-115.8259,-10.0561,166.9162,359.7982,90.00174,-0.004403191
08.18.18.976626,-115.8142,-10.05542,166.9161,359.778,90.00177,-0.005094205
08.18.18.976626,-115.8142,-10.05542,166.9161,359.778,90.00177,-0.005094205
08.18.18.993579,-115.8016,-10.05486,166.9161,359.7609,90.00202,-0.005326967
08.18.18.993579,-115.8016,-10.05486,166.9161,359.7609,90.00202,-0.005326967
